"Julianday","pH.A","Temp.A","Sal.A","Ox.A","pH.B","Temp.B","Sal.B","Ox.B","Temp.AF","Temp.BF"
117.002083333333,7.95,18.2,37.2,8.35,8.22,18,37.5,0,17.5,19.6
117.005555555556,7.95,16.8,37.4,8.71,8.23,18.1,37.4,0,17.5,19.6
117.009027777778,7.96,16.4,37.5,8.71,8.22,18.1,37.4,0,17.5,19.4
117.0125,7.96,16.2,37.5,8.7,8.22,18,37.4,0,17.5,19.4
117.015972222222,7.95,16.4,37.4,8.66,8.23,16.7,37.6,0,17.5,19.4
117.019444444444,7.96,16.5,37.4,8.67,8.24,16.5,37.6,0,17.5,19.2
117.022916666667,7.96,16.6,37.4,8.66,8.24,16.5,37.6,0,17.5,19.2
117.026388888889,7.96,16.6,37.4,8.64,8.24,16.5,37.6,0,17.3,19.2
117.029861111111,7.96,16.6,37.4,8.64,8.24,16.5,37.6,0,17.3,19.2
117.033333333333,7.96,16.6,37.4,8.64,8.24,16.5,37.6,0,17.3,19
117.036805555556,7.96,16.5,37.4,8.64,8.24,16.6,37.7,0,17.3,19
117.040277777778,7.96,16.5,37.4,8.65,8.24,16.6,37.6,0,17.1,19
117.04375,7.96,16.5,37.4,8.69,8.24,16.6,37.7,0,17.1,19
117.047222222222,7.96,16.5,37.4,8.68,8.24,16.6,37.6,0,17.1,19
117.050694444444,7.96,16.4,37.5,8.69,8.24,16.6,37.6,0,17.1,18.8
117.054166666667,7.96,16.4,37.4,8.7,8.24,16.5,37.6,0,17.1,18.8
117.057638888889,7.95,16.3,37.4,8.72,8.24,16.5,37.6,0,17.1,18.8
117.061111111111,7.96,16.3,37.5,8.72,8.25,16.5,37.5,0,16.9,18.8
117.064583333333,7.96,16.3,37.4,8.72,8.25,16.5,37.7,0,16.9,18.8
117.068055555556,7.96,16.2,37.5,8.73,8.25,16.4,37.6,0,16.9,18.6
117.071527777778,7.96,16.2,37.5,8.74,8.24,16.4,37.6,0,16.9,18.6
117.075,7.96,16.2,37.5,8.75,8.24,16.4,37.7,0,16.9,18.6
117.078472222222,7.97,16.1,37.5,8.76,8.25,16.4,37.7,0,16.9,18.6
117.081944444444,7.97,16.1,37.5,8.78,8.25,16.3,37.7,0,16.7,18.6
117.085416666667,7.97,16.1,37.5,8.77,8.25,16.3,37.6,0,16.7,18.4
117.088888888889,7.97,16,37.5,8.77,8.25,16.3,37.6,0,16.7,18.4
117.092361111111,7.97,16,37.5,8.78,8.24,16.2,37.8,0,16.7,18.4
117.095833333333,7.97,16,37.5,8.79,8.25,16.2,37.7,0,16.7,18.4
117.099305555556,7.97,15.9,37.5,8.81,8.25,16.2,37.7,0,16.7,18.4
117.102777777778,7.97,15.9,37.5,8.83,8.25,16.2,37.7,0,16.7,18.4
117.10625,7.97,15.9,37.5,8.83,8.25,16.1,37.7,0,16.5,18.3
117.109722222222,7.97,15.8,37.6,8.85,8.25,16.1,37.7,0,16.5,18.3
117.113194444444,7.96,15.8,37.5,8.85,8.25,16.1,37.7,0,16.5,18.3
117.116666666667,7.97,15.8,37.5,8.87,8.25,16.1,37.7,0,16.5,18.3
117.120138888889,7.97,15.7,37.6,8.89,8.25,16.1,37.7,0,16.5,18.3
117.123611111111,7.97,15.7,37.5,8.89,8.26,16,37.8,0,16.5,18.1
117.127083333333,7.97,15.7,37.5,8.9,8.25,16,37.7,0,16.5,18.1
117.130555555556,7.97,15.6,37.6,8.93,8.25,16,37.7,0,16.3,18.1
117.134027777778,7.97,15.6,37.6,8.92,8.25,16,37.7,0,16.3,18.1
117.1375,7.97,15.6,37.6,8.95,8.25,16,37.7,0,16.3,18.1
117.140972222222,7.97,15.6,37.6,8.97,8.26,15.9,37.7,0,16.3,18.1
117.144444444444,7.97,15.5,37.6,8.97,8.26,15.9,37.7,0,16.3,17.9
117.147916666667,7.97,15.5,37.6,8.97,8.26,15.9,37.7,0,16.3,17.9
117.151388888889,7.98,15.5,37.6,8.98,8.26,15.8,37.7,0,16.3,17.9
117.154861111111,7.98,15.4,37.6,8.99,8.26,15.8,37.7,0,16.1,17.9
117.158333333333,7.98,15.4,37.6,9.02,8.26,15.8,37.8,0,16.1,17.9
117.161805555556,7.98,15.4,37.6,9.04,8.26,15.8,37.8,0,16.1,17.9
117.165277777778,7.98,15.4,37.6,9.03,8.26,15.7,37.7,0,16.1,17.9
117.16875,7.98,15.3,37.6,9.05,8.26,15.7,37.8,0,16.1,17.7
117.172222222222,7.98,15.3,37.6,9.08,8.26,15.7,37.7,0,16.1,17.7
117.175694444444,7.98,15.3,37.6,9.09,8.26,15.7,37.7,0,16.1,17.7
117.179166666667,7.98,15.2,37.7,9.11,8.26,15.7,37.7,0,15.9,17.7
117.182638888889,7.98,15.2,37.6,9.11,8.26,15.7,37.8,0,15.9,17.7
